"ID","time","x","y"
"T172062-1","2017-08-08 09:20:00",-80.6583000000015,72.0199000000003
"T172062-1","2017-08-08 09:30:00",-80.668320818425,72.021237967906
"T172062-1","2017-08-08 09:40:00",-80.6752291315055,72.0218827100609
"T172062-1","2017-08-08 09:50:00",-80.6740270112209,72.0224629740352
"T172062-1","2017-08-08 10:00:00",-80.674444028079,72.0228551539356
"T172062-1","2017-08-08 10:10:00",-80.6845610973378,72.0215827241419
"T172062-1","2017-08-08 10:20:00",-80.6838435535872,72.0230479365578
"T172062-1","2017-08-08 10:30:00",-80.6849608166216,72.0248775924192
"T172062-1","2017-08-08 10:40:00",-80.6866055826263,72.0256524043229
"T172062-1","2017-08-08 10:50:00",-80.68437588569,72.0270082433835
"T172062-1","2017-08-08 11:00:00",-80.6803605139255,72.0297779595533
"T172062-1","2017-08-08 11:10:00",-80.6773378835357,72.0333459892282
"T172062-1","2017-08-08 11:20:00",-80.6769546162967,72.0368299514251
"T172062-1","2017-08-08 11:30:00",-80.6735069949735,72.0379646709044
"T172062-1","2017-08-08 11:40:00",-80.6671885470325,72.0373608432743
"T172062-1","2017-08-08 11:50:00",-80.662392104773,72.0372030101288
"T172062-1","2017-08-08 12:00:00",-80.6584737442103,72.0371276557275
"T172062-1","2017-08-08 12:10:00",-80.6549006108501,72.0354293094153
"T172062-1","2017-08-08 12:20:00",-80.6578606110143,72.0338083224401
"T172062-1","2017-08-08 12:30:00",-80.6580442216929,72.0327618966566
"T172062-1","2017-08-08 12:40:00",-80.6549031905945,72.0325248297362
"T172062-1","2017-08-08 12:50:00",-80.6575369366378,72.0326578517541
"T172062-1","2017-08-08 13:00:00",-80.6570463526412,72.0315620239197
"T172062-1","2017-08-08 13:10:00",-80.6521000000015,72.0302000000003
"T172062-1","2017-08-08 13:20:00",-80.6468342136308,72.0304891944235
"T172062-1","2017-08-08 13:30:00",-80.6431338810316,72.0316780236684
"T172062-1","2017-08-08 13:40:00",-80.641867382277,72.0324661838529
"T172062-1","2017-08-08 13:50:00",-80.6403341886295,72.0323239813435
"T172062-1","2017-08-08 14:00:00",-80.6341999580223,72.0310469483924
"T172062-1","2017-08-08 14:10:00",-80.6212997328392,72.029696894692
"T172062-1","2017-08-08 14:20:00",-80.6065685310298,72.030649425688
"T172062-1","2017-08-08 14:30:00",-80.5953414926123,72.031795909376
