time,x,y,u10,v10
2011-04-08 15:00,-84.37135,58.043318,-1.504741138,-0.48240537
2011-04-08 15:30,-84.368455,58.046282,-1.421228324,-0.19573021
2011-04-08 16:00,-84.35249,58.049014,-1.337715509,0.09094495
2011-04-08 16:30,-84.339815,58.047913,-1.022073168,0.343014082
2011-04-08 17:00,-84.339129,58.049902,-0.706430826,0.595083215
2011-04-08 17:30,-84.338338,58.051802,-0.231813481,0.813685899
2011-04-08 18:00,-84.337347,58.053579,0.242803863,1.032288583
2011-04-08 18:30,-84.335578,58.055186,0.937008241,1.039623866
2011-04-08 19:00,-84.333139,58.056551,1.63121262,1.046959149
2011-04-08 19:30,-84.33054,58.057804,1.675077205,1.131231829
2011-04-08 20:00,-84.327332,58.058873,1.71894179,1.215504509
2011-04-08 20:30,-84.323666,58.060004,1.685978494,3.13159989
2011-04-08 21:00,-84.319783,58.061228,1.653015198,5.047695272
2011-04-08 21:30,-84.315305,58.062507,1.750744852,6.128434721
2011-04-08 22:00,-84.304451,58.063414,1.848474505,7.20917417
2011-04-08 22:30,-84.299811,58.064997,2.728168909,7.078651716
2011-04-08 23:00,-84.294854,58.066707,3.607863313,6.948129262
2011-04-08 23:30,-84.290143,58.068486,4.168403601,6.463049654
2011-04-09 0:00,-84.285487,58.07032,4.72894389,5.977970045
2011-04-09 0:30,-84.280287,58.069088,4.883870133,5.319888446
2011-04-09 1:00,-84.275929,58.059062,5.038796376,4.661806846
2011-04-09 1:30,-84.268164,58.048099,5.134500666,3.995626652
2011-04-09 2:00,-84.282288,58.054282,5.230204955,3.329446458
2011-04-09 2:30,-84.279228,58.069305,5.414886005,2.316940431
2011-04-09 3:00,-84.276495,58.070598,5.599567054,1.304434404
2011-04-09 3:30,-84.274336,58.071555,5.318160405,0.878508467
2011-04-09 4:00,-84.272919,58.072109,5.036753756,0.452582531
2011-04-09 4:30,-84.273594,58.073792,4.748877265,0.632709965
2011-04-09 5:00,-84.276599,58.082883,4.461000773,0.812837399
2011-04-09 5:30,-84.296023,58.086046,4.496343887,0.56354682
2011-04-09 6:00,-84.300843,58.085341,4.531687001,0.31425624
2011-04-09 6:30,-84.289552,58.087828,4.445514654,-0.077700609
2011-04-09 7:00,-84.286268,58.090525,4.359342307,-0.469657457
2011-04-09 7:30,-84.28597,58.089946,4.131756122,-0.562158542
2011-04-09 8:00,-84.290843,58.093225,3.904169938,-0.654659626
2011-04-09 8:30,-84.291043,58.085801,3.645688918,-0.417564069
2011-04-09 9:00,-84.291014,58.08512,3.387207897,-0.180468513
2011-04-09 9:30,-84.290756,58.084561,3.060394016,0.210895764
2011-04-09 10:00,-84.296301,58.081124,2.733580134,0.602260041
2011-04-09 10:30,-84.295644,58.081152,2.55052534,0.60572137
2011-04-09 11:00,-84.296533,58.080311,2.367470545,0.609182698
2011-04-09 11:30,-84.295201,58.080981,2.244535918,1.427264675
2011-04-09 12:00,-84.30325,58.083636,2.12160129,2.245346651
2011-04-09 12:30,-84.31632,58.094728,1.686294974,3.901999263
2011-04-09 13:00,-84.318958,58.100781,1.250988657,5.558651875
2011-04-09 13:30,-84.318539,58.102561,1.319501506,6.270202539
2011-04-09 14:00,-84.318492,58.104437,1.388014355,6.981753203
2011-04-09 14:30,-84.31819963,58.10497912,2.075407736,2.824599871
2011-04-09 15:00,-84.318039,58.109769,2.433836269,7.139556743
2011-04-09 15:30,-84.317726,58.12183,2.815845349,5.712299838
2011-04-09 16:00,-84.319871,58.128588,3.19785443,4.285042934
2011-04-09 16:30,-84.338187,58.130437,2.945878034,4.026302823
2011-04-09 17:00,-84.336961,58.131805,2.693901638,3.767562712
2011-04-09 17:30,-84.336297,58.133249,2.788517084,4.421735707
2011-04-09 18:00,-84.335529,58.134624,2.88313253,5.075908703
2011-04-09 18:30,-84.334649,58.135939,4.05293457,5.705911709
2011-04-09 19:00,-84.333803,58.137327,5.222736609,6.335914715
2011-04-09 19:30,-84.332828,58.138686,5.645087776,6.109611332
2011-04-09 20:00,-84.331361,58.140083,6.067438942,5.883307949
2011-04-09 20:30,-84.329458,58.141521,6.218539651,5.518529464
2011-04-09 21:00,-84.32714,58.143075,6.369640359,5.153750978
2011-04-09 21:30,-84.331778,58.145834,6.476556655,4.855322034
2011-04-09 22:00,-84.328323,58.147877,6.583472951,4.55689309
2011-04-09 22:30,-84.344328,58.149067,6.692246864,4.358103263
2011-04-09 23:00,-84.355649,58.148732,6.801020778,4.159313436
2011-04-09 23:30,-84.355647,58.151504,7.234206828,3.875241045
2011-04-10 0:00,-84.351007,58.154032,7.667392877,3.591168654
2011-04-10 0:30,-84.346117,58.156703,7.193139189,4.680523886
2011-04-10 1:00,-84.341347,58.15945,6.7188855,5.769879117
2011-04-10 1:30,-84.336527,58.162312,6.841548052,6.360343541
2011-04-10 2:00,-84.331738,58.165026,6.964210604,6.950807966
2011-04-10 2:30,-84.327304,58.167401,7.68911406,6.089282008
2011-04-10 3:00,-84.365148,58.155975,8.414017517,5.22775605
2011-04-10 3:30,-84.406018,58.144459,8.621175017,4.240824736
2011-04-10 4:00,-84.403084,58.145678,8.828332518,3.253893421
2011-04-10 4:30,-84.400253,58.14651,8.632313711,2.806546033
2011-04-10 5:00,-84.401334,58.152599,8.436294903,2.359198645
2011-04-10 5:30,-84.398337,58.151879,8.652350103,1.890267445
2011-04-10 6:00,-84.39546,58.150452,8.868405304,1.421336245
2011-04-10 6:30,-84.392267,58.148301,9.053228961,0.736987106
2011-04-10 7:00,-84.388869,58.145564,9.238052619,0.052637966
2011-04-10 7:30,-84.384984,58.142231,9.300601231,-0.715424824
2011-04-10 8:00,-84.367812,58.13588,9.363149843,-1.483487615
2011-04-10 8:30,-84.357934,58.126811,9.323795977,-2.265992214
2011-04-10 9:00,-84.3507,58.118732,9.284442111,-3.048496813
2011-04-10 9:30,-84.347359,58.115424,9.02259673,-3.570722255
2011-04-10 10:00,-84.344231,58.112246,8.760751349,-4.092947698
2011-04-10 10:30,-84.340959,58.10932,8.683822094,-4.624234176
2011-04-10 11:00,-84.337825,58.106815,8.606892839,-5.155520654
2011-04-10 11:30,-84.334645,58.104628,8.398684306,-5.282150883
2011-04-10 12:00,-84.331472,58.102895,8.190475773,-5.408781113
2011-04-10 12:30,-84.328235,58.101505,7.940981507,-5.372861512
2011-04-10 13:00,-84.32803,58.096771,7.69148724,-5.336941911
2011-04-10 13:30,-84.34279,58.097148,7.406031581,-5.390908472
2011-04-10 14:00,-84.346707,58.091665,7.120575922,-5.444875033
2011-04-10 14:30,-84.364174,58.09021,7.068727642,-4.927589722
2011-04-10 15:00,-84.377803,58.083855,7.016879362,-4.410304412
2011-04-10 15:30,-84.379266,58.069814,7.258457407,-3.846847745
2011-04-10 16:00,-84.387825,58.0551,7.500035453,-3.283391077
2011-04-10 16:30,-84.38644,58.053438,7.594758896,-3.349209936
2011-04-10 17:00,-84.385833,58.05293,7.68948234,-3.415028795
2011-04-10 17:30,-84.386024,58.0517,7.619650364,-3.490304991
2011-04-10 18:00,-84.385407,58.05072,7.549818388,-3.565581188
2011-04-10 18:30,-84.384451,58.049378,7.485185516,-3.629064255
2011-04-10 19:00,-84.383393,58.047542,7.420552644,-3.692547322
2011-04-10 19:30,-84.382182,58.045311,7.200473604,-3.886181714
2011-04-10 20:00,-84.380612,58.042713,6.980394564,-4.079816107
2011-04-10 20:30,-84.379565,58.039876,6.755650371,-4.253190932
2011-04-10 21:00,-84.378712,58.036812,6.530906178,-4.426565758
2011-04-10 21:30,-84.377998,58.033753,6.174590321,-4.723202699
2011-04-10 22:00,-84.377675,58.031051,5.818274465,-5.01983964
2011-04-10 22:30,-84.377752,58.028694,5.296249386,-5.418522432
2011-04-10 23:00,-84.389355,58.02012,4.774224308,-5.817205225
2011-04-10 23:30,-84.393576,58.016093,4.283900697,-5.915195947
2011-04-11 0:00,-84.414644,58.010303,3.793577086,-6.013186669
2011-04-11 0:30,-84.405615,57.994214,3.436389954,-5.887035028
2011-04-11 1:00,-84.416372,57.984051,3.079202821,-5.760883387
2011-04-11 1:30,-84.426884,57.973436,2.76288825,-5.605644686
2011-04-11 2:00,-84.44267,57.956931,2.446573679,-5.450405984
2011-04-11 2:30,-84.463156,57.955373,1.584461167,-5.198462836
2011-04-11 3:00,-84.492731,57.958336,0.722348654,-4.946519689
2011-04-11 3:30,-84.506714,57.960531,0.573847883,-4.646758723
2011-04-11 4:00,-84.507703,57.961008,0.425347112,-4.346997758
2011-04-11 4:30,-84.508585,57.961267,0.452088955,-4.208564341
2011-04-11 5:00,-84.509515,57.96125,0.478830798,-4.070130925
2011-04-11 5:30,-84.509852,57.960851,0.726458955,-4.534415503
2011-04-11 6:00,-84.511161,57.959866,0.974087113,-4.99870008
2011-04-11 6:30,-84.511211,57.959042,0.858704206,-5.466918989
2011-04-11 7:00,-84.511876,57.957495,0.7433213,-5.935137898
2011-04-11 7:30,-84.512632,57.955808,0.497623862,-6.107937685
2011-04-11 8:00,-84.513456,57.954084,0.251926424,-6.280737471
2011-04-11 8:30,-84.514124,57.952345,-0.250497689,-5.584721337
2011-04-11 9:00,-84.514688,57.950665,-0.752921803,-4.888705202
