time,x,y
2011-04-09 19:00,-84.333803,58.137327
2011-04-09 19:30,-84.332828,58.138686
2011-04-09 20:00,-84.331361,58.140083
2011-04-09 20:30,-84.329458,58.141521
2011-04-09 21:00,-84.32714,58.143075
2011-04-09 21:30,-84.331778,58.145834
2011-04-09 22:00,-84.328323,58.147877
2011-04-09 22:30,-84.344328,58.149067
2011-04-09 23:00,-84.355649,58.148732
2011-04-09 23:30,-84.355647,58.151504
2011-04-10 0:00,-84.351007,58.154032
2011-04-10 0:30,-84.346117,58.156703
2011-04-10 1:00,-84.341347,58.15945
2011-04-10 1:30,-84.336527,58.162312
2011-04-10 2:00,-84.331738,58.165026
2011-04-10 2:30,-84.327304,58.167401
2011-04-10 3:00,-84.365148,58.155975
2011-04-10 3:30,-84.406018,58.144459
2011-04-10 4:00,-84.403084,58.145678
2011-04-10 4:30,-84.400253,58.14651
2011-04-10 5:00,-84.401334,58.152599
2011-04-10 5:30,-84.398337,58.151879
2011-04-10 6:00,-84.39546,58.150452
2011-04-10 6:30,-84.392267,58.148301
2011-04-10 7:00,-84.388869,58.145564
2011-04-10 7:30,-84.384984,58.142231
2011-04-10 8:00,-84.367812,58.13588
2011-04-10 8:30,-84.357934,58.126811
2011-04-10 9:00,-84.3507,58.118732
2011-04-10 9:30,-84.347359,58.115424
2011-04-10 10:00,-84.344231,58.112246
2011-04-10 10:30,-84.340959,58.10932
2011-04-10 11:00,-84.337825,58.106815
2011-04-10 11:30,-84.334645,58.104628
2011-04-10 12:00,-84.331472,58.102895
2011-04-10 12:30,-84.328235,58.101505
2011-04-10 13:00,-84.32803,58.096771
2011-04-10 13:30,-84.34279,58.097148
2011-04-10 14:00,-84.346707,58.091665
2011-04-10 14:30,-84.364174,58.09021
2011-04-10 15:00,-84.377803,58.083855
2011-04-10 15:30,-84.379266,58.069814
2011-04-10 16:00,-84.387825,58.0551
2011-04-10 16:30,-84.38644,58.053438
2011-04-10 17:00,-84.385833,58.05293
2011-04-10 17:30,-84.386024,58.0517
2011-04-10 18:00,-84.385407,58.05072
2011-04-10 18:30,-84.384451,58.049378
2011-04-10 19:00,-84.383393,58.047542
2011-04-10 19:30,-84.382182,58.045311
2011-04-10 20:00,-84.380612,58.042713
2011-04-10 20:30,-84.379565,58.039876
2011-04-10 21:00,-84.378712,58.036812
2011-04-10 21:30,-84.377998,58.033753
2011-04-10 22:00,-84.377675,58.031051
2011-04-10 22:30,-84.377752,58.028694
2011-04-10 23:00,-84.389355,58.02012
2011-04-10 23:30,-84.393576,58.016093
2011-04-11 0:00,-84.414644,58.010303
2011-04-11 0:30,-84.405615,57.994214
2011-04-11 1:00,-84.416372,57.984051
2011-04-11 1:30,-84.426884,57.973436
2011-04-11 2:00,-84.44267,57.956931
2011-04-11 2:30,-84.463156,57.955373
2011-04-11 3:00,-84.492731,57.958336
2011-04-11 3:30,-84.506714,57.960531
2011-04-11 4:00,-84.507703,57.961008
2011-04-11 4:30,-84.508585,57.961267
2011-04-11 5:00,-84.509515,57.96125
2011-04-11 5:30,-84.509852,57.960851
2011-04-11 6:00,-84.511161,57.959866
2011-04-11 6:30,-84.511211,57.959042
2011-04-11 7:00,-84.511876,57.957495
2011-04-11 7:30,-84.512632,57.955808
2011-04-11 8:00,-84.513456,57.954084
2011-04-11 8:30,-84.514124,57.952345
2011-04-11 9:00,-84.514688,57.950665
2011-04-11 9:30,-84.51525,57.94918
2011-04-11 10:00,-84.515815,57.947829
2011-04-11 10:30,-84.51587,57.946395
2011-04-11 11:00,-84.516121,57.945314
2011-04-11 11:30,-84.515589,57.944295
2011-04-11 12:00,-84.514656,57.943327
2011-04-11 12:30,-84.513321,57.942977
2011-04-11 13:00,-84.509351,57.943537
2011-04-11 13:30,-84.511785,57.941141
2011-04-11 14:00,-84.511619,57.940605
2011-04-11 14:30,-84.511434,57.940098
2011-04-11 15:00,-84.511761,57.939755
2011-04-11 15:30,-84.512379,57.939562
2011-04-11 16:00,-84.513303,57.939464
2011-04-11 16:30,-84.514093,57.939525
2011-04-11 17:00,-84.515063,57.939596
2011-04-11 17:30,-84.515873,57.93947
2011-04-11 18:00,-84.51642,57.93934
2011-04-11 18:30,-84.516504,57.938955
2011-04-11 19:00,-84.516235,57.938354
2011-04-11 19:30,-84.515662,57.937437
2011-04-11 20:00,-84.514851,57.936253
2011-04-11 20:30,-84.513698,57.934826
2011-04-11 21:00,-84.512499,57.933166
2011-04-11 21:30,-84.511775,57.931452
2011-04-11 22:00,-84.510934,57.929779
2011-04-11 22:30,-84.509889,57.928277
2011-04-11 23:00,-84.509236,57.927112
2011-04-11 23:30,-84.508331,57.92629
2011-04-12 0:00,-84.507264,57.925581
2011-04-12 0:30,-84.506365,57.925246
2011-04-12 1:00,-84.5054,57.925286
2011-04-12 1:30,-84.50449,57.925592
2011-04-12 2:00,-84.504066,57.926158
2011-04-12 2:30,-84.503358,57.927014
2011-04-12 3:00,-84.502823,57.928111
2011-04-12 3:30,-84.502244,57.929469
2011-04-12 4:00,-84.502361,57.930856
2011-04-12 4:30,-84.502777,57.933239
2011-04-12 5:00,-84.507346,57.93585
2011-04-12 5:30,-84.523545,57.937856
2011-04-12 6:00,-84.53048,57.941521
2011-04-12 6:30,-84.530814,57.942611
2011-04-12 7:00,-84.531506,57.943394
2011-04-12 7:30,-84.532377,57.943999
2011-04-12 8:00,-84.533063,57.944376
2011-04-12 8:30,-84.533456,57.944361
2011-04-12 9:00,-84.533495,57.943998
2011-04-12 9:30,-84.532623,57.943286
2011-04-12 10:00,-84.531791,57.942274
2011-04-12 10:30,-84.526846,57.942767
2011-04-12 11:00,-84.526404,57.941595
2011-04-12 11:30,-84.524875,57.941073
2011-04-12 12:00,-84.520519,57.942284
2011-04-12 12:30,-84.52109223,57.93900621
2011-04-12 13:00,-84.529604,57.935274
2011-04-12 13:30,-84.541958,57.935348
2011-04-12 14:00,-84.541398,57.934085
2011-04-12 14:30,-84.543562,57.933926
2011-04-12 15:00,-84.549154,57.938511
2011-04-12 15:30,-84.551489,57.938599
2011-04-12 16:00,-84.549623,57.934482
2011-04-12 16:30,-84.550772,57.933461
2011-04-12 17:00,-84.552321,57.93252
2011-04-12 17:30,-84.55698382,57.93086511
2011-04-12 18:00,-84.567415,57.929926
2011-04-12 18:30,-84.580965,57.930292
2011-04-12 19:00,-84.583236,57.929341
2011-04-12 19:30,-84.585617,57.928358
2011-04-12 20:00,-84.588167,57.92724
2011-04-12 20:30,-84.59069,57.925961
2011-04-12 21:00,-84.593331,57.924576
2011-04-12 21:30,-84.596369,57.923167
2011-04-12 22:00,-84.599247,57.921731
2011-04-12 22:30,-84.6026,57.920285
2011-04-12 23:00,-84.60577,57.918849
2011-04-12 23:30,-84.612439,57.919417
2011-04-13 0:00,-84.628487,57.92628
2011-04-13 0:30,-84.638029,57.931294
2011-04-13 1:00,-84.656208,57.936819
2011-04-13 1:30,-84.650592,57.943553
2011-04-13 2:00,-84.640858,57.95356
2011-04-13 2:30,-84.644764,57.954474
2011-04-13 3:00,-84.673815,57.951093
2011-04-13 3:30,-84.694978,57.940834
2011-04-13 4:00,-84.718403,57.944782
2011-04-13 4:30,-84.736399,57.949267
2011-04-13 5:00,-84.747014,57.959782
2011-04-13 5:30,-84.743709,57.970125
2011-04-13 6:00,-84.755877,57.980622
2011-04-13 6:30,-84.74629,57.990467
2011-04-13 7:00,-84.740222,57.986836
2011-04-13 7:30,-84.74566,57.985524
2011-04-13 8:00,-84.750769,57.984065
2011-04-13 8:30,-84.755653,57.982367
2011-04-13 9:00,-84.760078,57.980506
2011-04-13 9:30,-84.764342,57.978633
2011-04-13 10:00,-84.76799,57.976758
2011-04-13 10:30,-84.770384,57.975018
2011-04-13 11:00,-84.75449,57.978882
2011-04-13 11:30,-84.739753,57.983845
2011-04-13 12:00,-84.717435,57.991146
2011-04-13 12:30,-84.695634,57.997064
2011-04-13 13:00,-84.688503,58.002576
2011-04-13 13:30,-84.679577,58.007867
2011-04-13 14:00,-84.676512,58.005956
2011-04-13 14:30,-84.672561,58.008387
2011-04-13 15:00,-84.666179,58.007521
2011-04-13 15:30,-84.662323,58.005637
2011-04-13 16:00,-84.658532,58.003916
2011-04-13 16:30,-84.654767,58.001453
2011-04-13 17:00,-84.650954,57.999116
2011-04-13 17:30,-84.646966,57.997505
2011-04-13 18:00,-84.6428,57.995845
2011-04-13 18:30,-84.638716,57.994137
2011-04-13 19:00,-84.634638,57.992351
2011-04-13 19:30,-84.630565,57.990703
2011-04-13 20:00,-84.626641,57.99004
2011-04-13 20:30,-84.622797,57.988373
2011-04-13 21:00,-84.619214,57.986379
2011-04-13 21:30,-84.615634,57.984257
2011-04-13 22:00,-84.612239,57.982288
2011-04-13 22:30,-84.608967,57.980421
2011-04-13 23:00,-84.605383,57.978415
2011-04-13 23:30,-84.602164,57.976585
2011-04-14 0:00,-84.598613,57.974861
2011-04-14 0:30,-84.581908,57.978877
2011-04-14 1:00,-84.573512,57.994518
2011-04-14 1:30,-84.548207,58.004192
2011-04-14 2:00,-84.559052,58.013129
2011-04-14 2:30,-84.55677,58.01257
2011-04-14 3:00,-84.571211,58.014935
2011-04-14 3:30,-84.568532,58.01481
2011-04-14 4:00,-84.565791,58.014873
2011-04-14 4:30,-84.562786,58.023315
2011-04-14 5:00,-84.55764,58.029207
2011-04-14 5:30,-84.553888,58.029135
2011-04-14 6:00,-84.550981,58.029095
2011-04-14 6:30,-84.54827,58.028977
2011-04-14 7:00,-84.545608,58.028803
2011-04-14 7:30,-84.543126,58.028567
2011-04-14 8:00,-84.541123,58.028327
2011-04-14 8:30,-84.539544,58.028107
2011-04-14 9:00,-84.539218,58.026853
2011-04-14 9:30,-84.538295,58.026083
2011-04-14 10:00,-84.53432,58.032791
2011-04-14 10:30,-84.535956,58.033412
2011-04-14 11:00,-84.530559,58.039371
2011-04-14 11:30,-84.521862,58.046794
2011-04-14 12:00,-84.511086,58.055734
2011-04-14 12:30,-84.513016,58.059588
2011-04-14 13:00,-84.513306,58.06246
2011-04-14 13:30,-84.508808,58.060785
2011-04-14 14:00,-84.501646,58.068599
2011-04-14 14:30,-84.498379,58.068022
2011-04-14 15:00,-84.472609,58.062658
2011-04-14 15:30,-84.444219,58.063766
2011-04-14 16:00,-84.409789,58.062758
2011-04-14 16:30,-84.401846,58.061297
2011-04-14 17:00,-84.395302,58.059605
2011-04-14 17:30,-84.388561,58.058011
2011-04-14 18:00,-84.366745,58.048046
2011-04-14 18:30,-84.345037,58.053965
2011-04-14 19:00,-84.32811,58.056244
2011-04-14 19:30,-84.308884,58.059275
2011-04-14 20:00,-84.289031,58.061896
2011-04-14 20:30,-84.281276,58.058433
2011-04-14 21:00,-84.274528,58.057
2011-04-14 21:30,-84.268048,58.055463
2011-04-14 22:00,-84.261869,58.053897
2011-04-14 22:30,-84.238138,58.061432
2011-04-14 23:00,-84.215452,58.055756
2011-04-14 23:30,-84.195536,58.046552
2011-04-15 0:00,-84.190769,58.044489
2011-04-15 0:30,-84.185842,58.042508
2011-04-15 1:00,-84.181343,58.040812
2011-04-15 1:30,-84.177745,58.031624
2011-04-15 2:00,-84.176847,58.022405
2011-04-15 2:30,-84.178719,58.013037
2011-04-15 3:00,-84.185218,58.011867
2011-04-15 3:30,-84.1889,57.997884
2011-04-15 4:00,-84.179475,57.988222
2011-04-15 4:30,-84.1745,57.987405
2011-04-15 5:00,-84.171905,57.975334
2011-04-15 5:30,-84.16372,57.965689
2011-04-15 6:00,-84.160197,57.96594
2011-04-15 6:30,-84.149795,57.951837
2011-04-15 7:00,-84.147003,57.935837
2011-04-15 7:30,-84.134793,57.932735
2011-04-15 8:00,-84.13159,57.918379
2011-04-15 8:30,-84.142918,57.911597
2011-04-15 9:00,-84.140867,57.911467
2011-04-15 9:30,-84.139253,57.911338
2011-04-15 10:00,-84.13799,57.911026
2011-04-15 10:30,-84.13688,57.910784
2011-04-15 11:00,-84.135911,57.91047
2011-04-15 11:30,-84.135048,57.909955
2011-04-15 12:00,-84.134867,57.906112
2011-04-15 12:30,-84.142006,57.891792
2011-04-15 13:00,-84.147812,57.877143
2011-04-15 13:30,-84.147386,57.874644
2011-04-15 14:00,-84.139161,57.866817
2011-04-15 14:30,-84.136522,57.850517
2011-04-15 15:00,-84.133212,57.849894
2011-04-15 15:30,-84.129681,57.849347
2011-04-15 16:00,-84.124845,57.848867
2011-04-15 16:30,-84.119235,57.848279
2011-04-15 17:00,-84.11213,57.847874
2011-04-15 17:30,-84.105986,57.847468
2011-04-15 18:00,-84.099858,57.84713
2011-04-15 18:30,-84.093555,57.846809
2011-04-15 19:00,-84.087128,57.846468
2011-04-15 19:30,-84.08059,57.846212
2011-04-15 20:00,-84.07402185,57.84042711
2011-04-15 20:30,-84.064157,57.833512
2011-04-15 21:00,-84.046483,57.829219
2011-04-15 21:30,-84.024639,57.820599
2011-04-15 22:00,-84.033992,57.814112
2011-04-15 22:30,-84.063075,57.812029
2011-04-15 23:00,-84.049783,57.802623
2011-04-15 23:30,-84.033253,57.793573
2011-04-16 0:00,-84.023589,57.781554
2011-04-16 0:30,-84.005255,57.767277
2011-04-16 1:00,-84.001841,57.756897
2011-04-16 1:30,-83.990303,57.745583
2011-04-16 2:00,-84.001003,57.735264
2011-04-16 2:30,-84.012726,57.725857
2011-04-16 3:00,-84.012008,57.720956
2011-04-16 3:30,-84.01036,57.720097
2011-04-16 4:00,-84.009418,57.707658
2011-04-16 4:30,-83.999388,57.691683
2011-04-16 5:00,-83.993337,57.683823
2011-04-16 5:30,-83.989861,57.673522
2011-04-16 6:00,-83.966428,57.673337
2011-04-16 6:30,-83.94196,57.684903
2011-04-16 7:00,-83.926003,57.691367
2011-04-16 7:30,-83.926339,57.691963
2011-04-16 8:00,-83.926135,57.692504
2011-04-16 8:30,-83.925931,57.693093
2011-04-16 9:00,-83.925885,57.693439
2011-04-16 9:30,-83.92595,57.693587
2011-04-16 10:00,-83.925963,57.693602
2011-04-16 10:30,-83.926028,57.69357
2011-04-16 11:00,-83.925985,57.693516
2011-04-16 11:30,-83.92610674,57.69317101
2011-04-16 12:00,-83.926257,57.692806
2011-04-16 12:30,-83.926346,57.692655
2011-04-16 13:00,-83.926664,57.692334
2011-04-16 13:30,-83.926623,57.691717
2011-04-16 14:00,-83.926279,57.690892
2011-04-16 14:30,-83.923022,57.692756
2011-04-16 15:00,-83.922262,57.69184
2011-04-16 15:30,-83.921464,57.690783
2011-04-16 16:00,-83.920318,57.689913
2011-04-16 16:30,-83.91921,57.68947
2011-04-16 17:00,-83.91808,57.689014
2011-04-16 17:30,-83.916962,57.688881
2011-04-16 18:00,-83.916091,57.689211
2011-04-16 18:30,-83.91555,57.689709
2011-04-16 19:00,-83.915063,57.690303
2011-04-16 19:30,-83.91485,57.690832
2011-04-16 20:00,-83.914388,57.691418
2011-04-16 20:30,-83.914197,57.691958
2011-04-16 21:00,-83.914054,57.692443
2011-04-16 21:30,-83.914001,57.692829
2011-04-16 22:00,-83.909828,57.696064
2011-04-16 22:30,-83.899518,57.701915
2011-04-16 23:00,-83.887378,57.708165
2011-04-16 23:30,-83.877318,57.712114
2011-04-17 0:00,-83.871797,57.712921
2011-04-17 0:30,-83.855826,57.714733
2011-04-17 1:00,-83.854148,57.717529
2011-04-17 1:30,-83.878817,57.726502
2011-04-17 2:00,-83.870811,57.731327
2011-04-17 2:30,-83.878255,57.733834
2011-04-17 3:00,-83.879546,57.741602
2011-04-17 3:30,-83.867076,57.758744
2011-04-17 4:00,-83.866093,57.770416
2011-04-17 4:30,-83.866131,57.771334
2011-04-17 5:00,-83.865572,57.77085
2011-04-17 5:30,-83.875742,57.769954
2011-04-17 6:00,-83.855127,57.772708
2011-04-17 6:30,-83.848271,57.786964
2011-04-17 7:00,-83.815707,57.792945
2011-04-17 7:30,-83.8178,57.80515
2011-04-17 8:00,-83.81021,57.812264
2011-04-17 8:30,-83.810038,57.81285
2011-04-17 9:00,-83.808785,57.813573
2011-04-17 9:30,-83.779196,57.817964
2011-04-17 10:00,-83.77846,57.818782
2011-04-17 10:30,-83.776647,57.818752
2011-04-17 11:00,-83.76988,57.815871
2011-04-17 11:30,-83.771459,57.816022
2011-04-17 12:00,-83.773217,57.815974
2011-04-17 12:30,-83.775244,57.815615
2011-04-17 13:00,-83.777278,57.814789
2011-04-17 13:30,-83.779966,57.813641
2011-04-17 14:00,-83.782871,57.812116
2011-04-17 14:30,-83.785628,57.81034
2011-04-17 15:00,-83.787765,57.808173
2011-04-17 15:30,-83.789624,57.805873
2011-04-17 16:00,-83.77724,57.802863
2011-04-17 16:30,-83.797317,57.809005
2011-04-17 17:00,-83.804457,57.812498
2011-04-17 17:30,-83.806304,57.823092
2011-04-17 18:00,-83.787477,57.828681
2011-04-17 18:30,-83.760195,57.832755
2011-04-17 19:00,-83.727891,57.832988
2011-04-17 19:30,-83.718954,57.838853
2011-04-17 20:00,-83.712521,57.841483
2011-04-17 20:30,-83.696889,57.847153
2011-04-17 21:00,-83.703821,57.849147
2011-04-17 21:30,-83.687596,57.854148
2011-04-17 22:00,-83.663906,57.856689
2011-04-17 22:30,-83.63775,57.862943
2011-04-17 23:00,-83.621023,57.869852
2011-04-17 23:30,-83.592808,57.877688
2011-04-18 0:00,-83.567664,57.880555
2011-04-18 0:30,-83.569084,57.880341
2011-04-18 1:00,-83.547447,57.878518
2011-04-18 1:30,-83.547718,57.880207
2011-04-18 2:00,-83.550488,57.880574
2011-04-18 2:30,-83.545245,57.886024
2011-04-18 3:00,-83.537367,57.891335
2011-04-18 3:30,-83.538781,57.890201
2011-04-18 4:00,-83.539614,57.888909
2011-04-18 4:30,-83.540275,57.887953
2011-04-18 5:00,-83.540178,57.886982
